timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197958056,1027,Homepage,200,OK,Thread Group 1-9,text,true,,282665,302,10,10,https://www.simplilearn.com/,59,0,0
1704197958056,59,Homepage-0,301,Moved Permanently,Thread Group 1-9,text,true,,568,181,10,10,http://www.simplilearn.com/,59,0,0
1704197958115,968,Homepage-1,200,OK,Thread Group 1-9,text,true,,282097,121,10,10,https://www.simplilearn.com/,99,0,0
1704197959083,966,Resource,200,OK,Thread Group 1-9,text,true,,234376,392,10,10,https://www.simplilearn.com/resources,70,0,0
1704197959083,71,Resource-0,301,Moved Permanently,Thread Group 1-9,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,70,0,0
1704197959154,83,Resource-1,301,Moved Permanently,Thread Group 1-9,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,83,0,0
1704197959237,812,Resource-2,200,OK,Thread Group 1-9,text,true,,233349,130,10,10,https://www.simplilearn.com/resources,179,0,0
1704197955181,5710,Business,200,OK,Thread Group 1-4,text,true,,1469809,389,10,10,https://www.simplilearn.com/business,59,0,0
1704197955181,59,Business-0,301,Moved Permanently,Thread Group 1-4,text,true,,577,130,10,10,http://www.simplilearn.com/business/,59,0,0
1704197955240,64,Business-1,301,Moved Permanently,Thread Group 1-4,text,true,,720,130,10,10,https://www.simplilearn.com/business/,64,0,0
1704197955304,5587,Business-2,200,OK,Thread Group 1-4,text,true,,1468512,129,10,10,https://www.simplilearn.com/business,139,0,0
1704197958517,2406,Business,200,OK,Thread Group 1-1,text,true,,1469758,389,10,10,https://www.simplilearn.com/business,73,0,0
1704197958517,73,Business-0,301,Moved Permanently,Thread Group 1-1,text,true,,577,130,10,10,http://www.simplilearn.com/business/,73,0,0
1704197958590,63,Business-1,301,Moved Permanently,Thread Group 1-1,text,true,,720,130,10,10,https://www.simplilearn.com/business/,63,0,0
1704197958653,2270,Business-2,200,OK,Thread Group 1-1,text,true,,1468461,129,10,10,https://www.simplilearn.com/business,77,0,0
1704197955329,5655,Business,200,OK,Thread Group 1-5,text,true,,1469766,389,10,10,https://www.simplilearn.com/business,74,0,0
